i_d,i_q,torque
-7.139332192717411,38.33167610620705,28.400000000000002
-7.184921874832618,38.45812763878218,28.5
-7.230614821365691,38.58450382221172,28.6
-7.2764106096142385,38.71080459600053,28.700000000000003
-7.322308817606164,38.83702990083242,28.8
-7.368309024107283,38.963179678563904,28.900000000000002
-7.414410808628837,39.08925387221798,29
-7.460613751434906,39.21525242597793,29.1
-7.506917433549646,39.3411752851809,29.200000000000003
-7.553321436764563,39.46702239631184,29.3
-7.599825343645527,39.59279370699711,29.400000000000002
-7.646428737539814,39.718489165998214,29.5
-7.693131202582926,39.844108723205615,29.6
-7.739932323705432,39.969652329632375,29.700000000000003
-7.786831686639616,40.095119937407915,29.8
-7.833828877926045,40.22051149977172,29.900000000000002
-7.880923484920054,40.34582697106707,30
-7.928115095798148,40.47106630673476,30.1
-7.975403299564235,40.59622946330682,30.200000000000003
-8.022787686055828,40.72131639840024,30.3
-8.07026784595012,40.84632707071063,30.400000000000002
-8.117843370769997,40.97126144000606,30.5
-8.165513852889852,41.096119467120666,30.6
-8.213278885541449,41.22090111394844,30.700000000000003
-8.261138062819569,41.345606343436955,30.8
-8.309090979687625,41.470235119581055,30.900000000000002
-8.357137231983174,41.59478740741669,31
-8.405276416423298,41.719263173014504,31.1
-8.453508130609947,41.843662383473706,31.200000000000003
-8.50183197303516,41.96798500691578,31.3
-8.550247543086158,42.09223101247822,31.400000000000002
-8.598754441050424,42.21640037030833,31.5
-8.647352268120649,42.340493051556926,31.6
-8.696040626399558,42.46450902837219,31.700000000000003
-8.7448191189047,42.58844827389342,31.8
-8.793687349573133,42.712310762244776,31.900000000000002
-8.842644923265958,42.836096468529114,32
-8.891691445772935,42.959805368821854,32.1
-8.940826523816753,43.08343744016464,32.2
-8.990049765057464,43.20699266055931,32.300000000000004
-9.039360778096679,43.33047100896165,32.4
-9.08875917248173,43.45387246527527,32.5
-9.13824455870975,43.57719701034542,32.6
-9.18781654823163,43.700444625952905,32.7
-9.237474753455963,43.823615294807894,32.800000000000004
-9.287218787752835,43.9467090005439,32.9
-9.337048265457561,44.069725727711536,33
-9.386962801874368,44.19266546177259,33.1
-9.436962013279917,44.31552818909378,33.2
-9.48704551692687,44.438313896940855,33.300000000000004
-9.537212931047215,44.56102257347238,33.4
-9.587463874855686,44.683654207733795,33.5
-9.63779796855296,44.80620878965138,33.6
-9.688214833328878,44.928686310026215,33.7
-9.738714091365502,45.051086760528214,33.800000000000004
-9.789295365840161,45.17341013369005,33.9
-9.839958280928414,45.29565642290133,34
-9.890702461806903,45.41782562240254,34.1
-9.941527534656153,45.5399177272791,34.2
-9.992433126663308,45.6619327334555,34.300000000000004
-10.043418866024744,45.78387063768934,34.4
-10.094484381948739,45.90573143756551,34.5
-10.145629304657831,46.02751513149014,34.6
-10.19685326539139,46.14922171868499,34.7
-10.248155896407923,46.2708511991814,34.800000000000004
-10.29953683098735,46.392403573814605,34.9
-10.35099570343327,46.51387884421778,35
-10.402532149075071,46.635277012816395,35.1
-10.454145804270055,46.756598082822364,35.2
-10.50583630640542,46.87784205822828,35.300000000000004
-10.557603293900243,46.99900894380173,35.4
-10.60944640620734,47.120098745079524,35.5
-10.661365283815108,47.24111146836203,35.6
-10.713359568249231,47.362047120707444,35.7
-10.76542890207444,47.48290570992621,35.800000000000004
-10.817572928896084,47.60368724457528,35.9
-10.86979129336168,47.72439173395259,36
-10.922083641162452,47.84501918809128,36.1
-10.974449619034765,47.96556961775434,36.2
-11.026888874761461,48.08604303442891,36.300000000000004
-11.079401057173207,48.206439450320694,36.4
-11.131985816149744,48.32675887834857,36.5
-11.184642802621035,48.4470013321389,36.6
-11.237371668568493,48.56716682602029,36.7
-11.290172067025935,48.687255375017855,36.800000000000004
-11.34304365208071,48.80726699484797,36.9
-11.395986078874586,48.92720170191275,37
-11.44899900360469,49.04705951329471,37.1
-11.502082083524357,49.16684044675135,37.2
-11.555234976943872,49.28654452070974,37.300000000000004
-11.608457343231272,49.406171754261294,37.4
-11.66174884281299,49.525722167156374,37.5
-11.715109137174487,49.64519577979902,37.6
-11.768537888860841,49.76459261324167,37.7
-11.82203476147724,49.88391268917987,37.800000000000004
-11.875599419689486,50.003156029947164,37.9
-11.929231529224417,50.12232265850975,38
-11.982930756870218,50.24141259846134,38.1
